"Commit SHA","Java File","Old function signature","New function signature"
"47316ec1b08d71ecef04f064956ab4ac338f2d40","retrofit/src/main/java/retrofit/RestAdapter.java","setClient(Client.Provider)","setClient(Client)"
"468e0efe878ff66f156114cf2fcbb5fc7d79a513","retrofit/src/main/java/retrofit/Endpoints.java","newFixedEndpoint(String, String)","newFixedEndpoint(String)"
"4cf02b2e5a45661e28f9dd358f1f25426a25901c","retrofit-mock/src/main/java/retrofit/MockRestAdapter.java","call(Subscriber<? super Object>)","call(String)"
"3a6b251633bf533751c66594ded8b827ff67c300","retrofit/src/test/java/retrofit/RestMethodInfoTest.java","a(Object)","a()"
"5795931d159f0a591e5dad3d9de6f8d0e9785413","retrofit/src/main/java/retrofit/mime/MultipartTypedOutput.java","addPart(String, TypedOutput)","addPart(String, String, TypedOutput)"
"5795931d159f0a591e5dad3d9de6f8d0e9785413","retrofit/src/main/java/retrofit/mime/MultipartTypedOutput.java","buildHeader(String, TypedOutput)","buildHeader(String, String, TypedOutput)"
"5795931d159f0a591e5dad3d9de6f8d0e9785413","retrofit/src/test/java/retrofit/RequestBuilderTest.java","addPart(String, Object)","addPart(String, String, Object)"
"5795931d159f0a591e5dad3d9de6f8d0e9785413","retrofit/src/test/java/retrofit/RequestBuilderTest.java","addPartMap(String, Map<String,Object>)","addPartMap(String, String, Map<String,Object>)"
"5795931d159f0a591e5dad3d9de6f8d0e9785413","retrofit/src/test/java/retrofit/RestMethodInfoTest.java","a(String)","a(Object)"
"fb746cb2f67a51c100e368844ac26dedb9e8eac4","retrofit/src/test/java/retrofit/RestAdapterTest.java","something(Callback<Object>)","something(Callback<String>)"
"11b000ab845d13381efc6af447362e0c0a68d12e","retrofit/src/main/java/retrofit/RxSupport.java","createRequestObservable(Callable<ResponseWrapper>)","createRequestObservable(Invoker)"
"11b000ab845d13381efc6af447362e0c0a68d12e","retrofit/src/main/java/retrofit/RxSupport.java","getRunnable(Subscriber<? super Object>, Callable<ResponseWrapper>)","getRunnable(Subscriber<? super Object>, Invoker, RequestInterceptorTape)"
"1c4aa1d1492ba7ffccbf46084da59f57f928c33b","retrofit-mock/src/test/java/retrofit/MockRestAdapterTest.java","success(Object, Response)","success(String, Response)"
"00f4c420166eb070a035cdd641b7afa101f65602","retrofit-mock/src/test/java/retrofit/MockRestAdapterTest.java","doStuff(Callback<Object>)","doStuff()"
"4eaf974bbde6dc7eb4a99a0c5bcfe27d1d6cde18","retrofit/src/main/java/retrofit/RestMethodInfo.java","validatePathName(String)","validatePathName(int, String)"
"d7da1cdc2406b88aae75ebfeaca93bbf3c94d505","retrofit/src/main/java/retrofit/RestAdapter.java","setServer(Endpoint)","setServer(Server)"
"9c056e07c3c0b216b316bf2352e55bf72f778215","retrofit/src/test/java/retrofit/RequestBuilderTest.java","addField(String, String)","addField(String, Object)"
"042c148ae9a340334590a865a2f6a2944f552e4d","retrofit/src/test/java/retrofit/RequestBuilderTest.java","addQueryParam(String, String)","addQueryParam(String, Object)"
"e9cc00a53cf37a730fa675e88e57d9c7e1e36cfc","retrofit/src/main/java/retrofit/RestAdapter.java","setServer(IServer)","setServer(Endpoint)"
"884593d0e46c4eb30dd6e9ac8056bfdc2848345e","retrofit/src/main/java/retrofit/RestAdapter.java","setServer(Server)","setServer(IServer)"
"985355d26bbe7b0760203c8ff53d7f40c1b09593","retrofit/src/main/java/retrofit/client/ApacheClient.java","parseResponse(HttpResponse)","parseResponse(String, HttpResponse)"
"2162e8281b392b8f77bd9cdaec969b0c64ef9bcc","retrofit/src/main/java/retrofit/RequestBuilder.java","addQueryListParams(String, List<?>)","addQueryListParams(String, Iterable<?>)"
"464011a2c1c095ac00c63960fe13def9839de75d","retrofit/src/main/java/retrofit/RestAdapter.java","logAndReplaceRequest(Request)","logAndReplaceRequest(String, Request)"
"cf26c7a185a10d74c50f31e4aafee046a6f3e155","retrofit/src/main/java/retrofit/RestAdapter.java","invokeRequest(RestMethodInfo, Object[])","invokeRequest(RequestInterceptor, RestMethodInfo, Object[])"
"ba551e6bcf168a61a7abb296c9d52c9f8f77dcf8","retrofit/src/main/java/retrofit/RestAdapter.java","log(String)","log()"
"de8ffd99fb27296b64055e8ba9ed793983e8cd1a","retrofit/src/main/java/retrofit/RequestBuilder.java","addQueryParam(String, String, Boolean)","addQueryParam(String, String, boolean)"
"de8ffd99fb27296b64055e8ba9ed793983e8cd1a","retrofit/src/main/java/retrofit/RequestBuilder.java","addPathParam(String, String, Boolean)","addPathParam(String, String, boolean)"
"de8ffd99fb27296b64055e8ba9ed793983e8cd1a","retrofit/src/main/java/retrofit/RequestInterceptor.java","addQueryParam(String, String, Boolean)","addQueryParam(String, String)"
"de8ffd99fb27296b64055e8ba9ed793983e8cd1a","retrofit/src/main/java/retrofit/RequestInterceptor.java","addPathParam(String, String, Boolean)","addPathParam(String, String)"
"78e190d989aa9642df890588b69d12e7c11a3f20","retrofit/src/test/java/retrofit/http/RestMethodInfoTest.java","a(TypedOutput, int)","a()"
"f844530c11dca51bd8d96afc87b6e94d0a20917a","retrofit/src/main/java/retrofit/http/RequestBuilder.java","setHeaders(List<Header>)","setHeaders(List<HeaderPair>)"
"f844530c11dca51bd8d96afc87b6e94d0a20917a","retrofit/src/main/java/retrofit/http/RestAdapter.java","setHeaders(Headers)","setHeaders(HeaderPairs)"
"00c23fb8a4c80480f5a95cf668be488091affa69","retrofit/src/main/java/retrofit/http/RestAdapter.java","getRequestInfo(Server, RestMethodInfo, Request)","getRequestInfo(String, RestMethodInfo, Request)"
"6fffb109d3b23cbc9964a33ad630f1f17a569cc3","retrofit/src/main/java/retrofit/http/client/ApacheClient.java","execute(HttpUriRequest)","execute(HttpClient, HttpUriRequest)"
"fd9d915d8e1641d165fb5d0f30ef2f1a738b9a91","retrofit/src/main/java/retrofit/http/client/ApacheClient.java","execute(Request)","execute(HttpUriRequest)"
"278433b9012a8a41365987280b1001236e8aad89","retrofit/src/main/java/retrofit/http/Callback.java","success(Response, T)","success(T, Response)"
"a10def06d7a3ec75de30fee9c2dfd47837201eba","retrofit/src/main/java/retrofit/http/Callback.java","success(T)","success(Response, T)"
"f607a1377f063399d7fefd49b2fa6551339f4241","retrofit/src/main/java/retrofit/http/RestAdapter.java","setClient(Provider<Client>)","setClient(Client.Provider)"
"fe43ab0b5c3541fb33b8fddc6a1db60260ff52b3","retrofit/src/main/java/retrofit/http/Converter.java","fromBody(byte[], Type)","fromBody(TypedInput, Type)"
"fe43ab0b5c3541fb33b8fddc6a1db60260ff52b3","retrofit/src/main/java/retrofit/http/GsonConverter.java","fromBody(byte[], Type)","fromBody(TypedInput, Type)"
"fe43ab0b5c3541fb33b8fddc6a1db60260ff52b3","retrofit/src/main/java/retrofit/http/RestAdapter.java","logResponseBody(String, byte[], int, long)","logResponseBody(String, int, TypedInput, long)"
"fe43ab0b5c3541fb33b8fddc6a1db60260ff52b3","retrofit/src/test/java/retrofit/http/RequestBuilderTest.java","assertTypedBytes(TypedBytes, String)","assertTypedBytes(TypedOutput, String)"
